"dv","ivs","cc","demog","inter"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex isdcc1r*d1sex","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex isdcc1r*d1sex"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex isdcc1r*p1sex","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex isdcc1r*p1sex"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl isdcc1r*d1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl isdcc1r*d1racewhbl"
"ispdepr","isphandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl isdcc1r*p1racewhbl","isphandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl isdcc1r*p1racewhbl"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1sex","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1sex"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1sex","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1sex"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1racewhbl"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1racewhbl"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex ispcc1r*d1sex","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex ispcc1r*d1sex"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex ispcc1r*p1sex","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex ispcc1r*p1sex"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl ispcc1r*d1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl ispcc1r*d1racewhbl"
"ispdepr","isphandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl ispcc1r*p1racewhbl","isphandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl ispcc1r*p1racewhbl"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1sex","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1sex"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1sex","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1sex"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1racewhbl"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1racewhbl"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex isdcc2*d1sex","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex isdcc2*d1sex"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex isdcc2*p1sex","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex isdcc2*p1sex"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl isdcc2*d1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl isdcc2*d1racewhbl"
"ispdepr","isphandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl isdcc2*p1racewhbl","isphandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl isdcc2*p1racewhbl"
"ispdepr","isphandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl","isphandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isphandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispdepr","isphandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispdepr","isphandler ispcc2 d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler ispcc2","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
